,,cc,cc,nss,nss,pg,pg,auc,auc,iou,iou,dice,dice,kl,kl,sim,sim
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cls,layer,,,,,,,,,,,,,,,,
ASD,0,0.5182948267561646,0.07271236895877672,2.03779269856041,0.37305042019400353,1.0,0.0,0.9976293360820357,0.001772328364838019,0.2885849146146637,0.10391431471684384,0.4386710913658148,0.11283790234652243,1.5079226900190916,0.32717038285297534,0.360908082844426,0.07712504342132576
ASD,1,0.46735315314577547,0.08308545185976628,1.7634931572762758,0.3377869411024132,0.999990730441231,0.000761120527588504,0.9968554383917924,0.0016613302246239157,0.2916791130782095,0.10511491749085737,0.44220198588019655,0.11355850561246361,1.4890232986196592,0.35622961334058584,0.33218535140078526,0.09125405909972657
ASD,2,0.47514144652105994,0.05559841182163173,1.6997779130812218,0.33548129147284134,1.0,0.0,0.9982137210076172,0.0019778116222923985,0.31066571202447585,0.10891195572691674,0.46383510687212437,0.11409307836152284,1.5736173922882681,0.31906866321854715,0.29229858660299113,0.07618239586792422
ASD,3,0.7343765557843172,0.04110843844345182,3.004795690281445,0.9833024529692821,0.9999304783092324,0.0025803402576149185,0.9976116344879218,0.006328004712473142,0.3223695307924311,0.1093460884443504,0.4734450198736813,0.12550587837291802,1.197898264238802,0.30365032118831214,0.4200540844499052,0.06735902882108981
DHS,0,0.5110048272294204,0.056906693279352924,2.038236658251609,0.26131929854826674,0.9999944151550353,0.000590806914561759,0.9983321160729687,0.0007468346499658431,0.25385170982996813,0.05296514047094106,0.4023939245583182,0.05802949087362729,1.6320725965220289,0.21948252234875873,0.34518619930758176,0.046492384003270555
DHS,1,0.4622040382177824,0.06885044550959914,1.7851633724664886,0.31806346055763896,0.9999944151550353,0.0005908069145617595,0.9979336917184268,0.0010695328557612724,0.2565415862912139,0.05309858597661094,0.4057629954021258,0.05794901287944619,1.6539537378335256,0.22027633763409896,0.3064242205742504,0.0605407041600711
DHS,2,0.4875252236132228,0.039358629472928675,1.7598916927113586,0.1789930306460609,1.0,0.0,0.9989827039900046,0.0008979612234764333,0.27497534523599476,0.05707068757317769,0.42796265969971636,0.06133736236176828,1.7047679088133305,0.19886468254754067,0.2745120010125752,0.04577860743595949
DHS,3,0.7557454941620323,0.03524994475501138,2.897374539065293,0.6491959141802458,0.9998994727906353,0.002892733908064425,0.998610043061008,0.0021956057608022096,0.3181950795922389,0.06938188011949402,0.4742166929339842,0.08318156969963508,1.1325798066382364,0.31280577915627844,0.45959835954876016,0.0782898970116997
LCS_HipOA,0,0.533575769984004,0.08619307592150884,1.9362055642255798,0.25104311860694223,1.0,0.0,0.9973997330689364,0.001811305455075518,0.3460277426645952,0.1427513864817944,0.49776391846576074,0.15392554619257348,1.372211999053292,0.3501695130793092,0.39689725116635344,0.0894984626997834
LCS_HipOA,1,0.48195090282394903,0.09720039850441413,1.6735645609510241,0.20556424834799444,1.0,0.0,0.9965051141349544,0.0014204999631657106,0.34980934673157527,0.14392670899129115,0.5017619947425696,0.15431059931488628,1.334635397265909,0.4309736545883485,0.37553918981465667,0.11685728784230191
LCS_HipOA,2,0.43175579741713643,0.03818473855685377,1.4564708417312442,0.4128966706929213,1.0,0.0,0.9977861324328964,0.0017243270958167674,0.3638713347072369,0.14695981913266043,0.5164678420212377,0.1539673185570709,1.6594945635948044,0.2360144950674959,0.26949564582595276,0.05376992670688805
LCS_HipOA,3,0.7140954796647769,0.0378346008887912,2.7614674284662595,0.8736316470714832,0.9999578367438723,0.0016228289562404152,0.997133609574438,0.0029622370786551422,0.35574199629169706,0.13329417744533822,0.5059591243548743,0.1411619588900967,1.2522053351303881,0.3421632359012333,0.39608245782392637,0.07703283758795804
