method_1,method_2,frame,cosine_similarity,ssim
none,mul,1,0.7457110285758972,0.16058870222670948
none,mul,2,0.824988603591919,0.10790572917944957
none,mul,3,0.8778712153434753,0.1276179885963467
none,mul,4,0.8919148445129395,0.2065529573806009
none,mul,5,0.9039015173912048,0.2481997176601114
none,mul,6,0.8941635489463806,0.31987247254222406
none,mul,7,0.933030903339386,0.3672916278537432
none,mul,8,0.9033966064453125,0.3772802497983112
none,mul,mean,0.8718722835183144,0.23941368065468704
none,mul,std,0.05568815535825966,0.09937089257412407
none,avg,1,0.79962158203125,0.14399904105453057
none,avg,2,0.8832642436027527,0.22680324799654364
none,avg,3,0.8607264161109924,0.07424280318749017
none,avg,4,0.8463290333747864,0.10594064197120462
none,avg,5,0.8712046146392822,0.16096626127891597
none,avg,6,0.917016327381134,0.26760013581113423
none,avg,7,0.8297043442726135,0.010677095846391878
none,avg,8,0.7107521295547485,0.046567548901760715
none,avg,mean,0.839827336370945,0.1295995970059965
none,avg,std,0.05883012525288986,0.08242035031058814
none,concat,1,0.859377920627594,0.16901075304943006
none,concat,2,0.826323926448822,0.13572937088775974
none,concat,3,0.8754109740257263,0.2128059772682444
none,concat,4,0.8656584024429321,0.1312555192365725
none,concat,5,0.8436053991317749,-0.009335399319639288
none,concat,6,0.8713716864585876,0.2020461033349533
none,concat,7,0.9237942695617676,0.24290843518216085
none,concat,8,0.8986245393753052,0.1396624504706707
none,concat,mean,0.8705208897590637,0.15301040126376902
none,concat,std,0.028456391290080898,0.07213174960384532
none,late_fusion,1,0.820953905582428,0.10019713954601855
none,late_fusion,2,0.8004552125930786,0.14492657442509216
none,late_fusion,3,0.8625875115394592,0.17829797024644098
none,late_fusion,4,0.8470996618270874,0.10670120572548959
none,late_fusion,5,0.8517754077911377,0.14059799220573033
none,late_fusion,6,0.8763560652732849,0.2507846066201704
none,late_fusion,7,0.8710684180259705,0.14401724134058516
none,late_fusion,8,0.8648238182067871,0.07439617961398787
none,late_fusion,mean,0.8493900001049042,0.14248986371543937
none,late_fusion,std,0.024555193552658262,0.050901957018295856
none,add,1,0.9103725552558899,0.4909058614289171
none,add,2,0.8442320823669434,0.09216472889125048
none,add,3,0.8806725144386292,0.1692069883045567
none,add,4,0.8769423961639404,0.19445919728493938
none,add,5,0.8582500219345093,0.18196577444805662
none,add,6,0.8607233166694641,0.32623718271501556
none,add,7,0.8905715942382812,0.369099054173754
none,add,8,0.9561765193939209,0.34845316362935524
none,add,mean,0.8847426250576973,0.27156149385948064
none,add,std,0.033149227177546745,0.12407612998211108
mul,avg,1,0.8215827941894531,0.17281820217856692
mul,avg,2,0.9005069136619568,0.3275232072942514
mul,avg,3,0.8869348168373108,0.2217973851906692
