group,method,display,n_folds,acc_fold0,acc_fold1,acc_fold2,acc_mean,acc_std,f1_mean
A0 Baseline,baseline_rgb,B1 RGB-only (fuse=none),3,0.7807929515838623,0.825679361820221,0.7551605105400085,0.7872,0.0291,0.8013
A1 Fusion method,early_add,Early add,3,0.841217041015625,0.8144438862800598,0.7593328356742859,0.8050,0.0341,0.8162
A1 Fusion method,early_mul,Early mul,3,0.6990230679512024,0.8824949264526367,0.7338026165962219,0.7718,0.0796,0.7842
A1 Fusion method,early_concat,Early concat,3,0.8800065517425537,0.8755789399147034,0.7741820216178894,0.8433,0.0489,0.8530
A1 Fusion method,se_atn_prefix0,SE [0],3,0.7983063459396362,0.8328548073768616,0.7511387467384338,0.7941,0.0335,0.8063
A1 Fusion method,se_atn_prefix1,SE [0,1],3,0.8283179402351379,0.7931169867515564,0.7302479147911072,0.7839,0.0406,0.7966
A1 Fusion method,se_atn_prefix2,SE [0-2],3,0.7741075754165649,0.8373273015022278,0.7497093081474304,0.7870,0.0369,0.8001
A1 Fusion method,se_atn_prefix3,SE [0-3],3,0.7885721325874329,0.8276321291923523,0.7244876623153687,0.7802,0.0425,0.7947
A1 Fusion method,se_atn_prefix4,SE [0-4],3,0.7899530529975891,0.8166625499725342,0.7588894367218018,0.7885,0.0236,0.8020
A1 Fusion method,cross_atn_L3,Cross [3],3,0.7345919609069824,0.8359538912773132,0.7637657523155212,0.7781,0.0426,0.7909
A1 Fusion method,cross_atn_L4,Cross [4],3,0.7832894325256348,0.8296970725059509,0.7736308574676514,0.7955,0.0245,0.8066
A1 Fusion method,cross_atn_L34,Cross [3,4],3,0.7495183944702148,0.7553593516349792,0.7554228901863098,0.7534,0.0028,0.7684
A1 Fusion method,pose_gated_full,PoseGated full [0-4],3,0.8075481057167053,0.8766383528709412,0.759610116481781,0.8146,0.0480,0.8243
A2 Gate init bias (full [0-4]),pose_gated_bias0,bias=0.0,3,0.8337100148200989,0.8996220827102661,0.8116079568862915,0.8483,0.0374,0.8580
A2 Gate init bias (full [0-4]),pose_gated_biasneg1,bias=-1.0,3,0.8330671787261963,0.863455593585968,0.7803810834884644,0.8256,0.0343,0.8368
A2 Gate init bias (full [0-4]),pose_gated_full,bias=2.0 (=full),3,0.8075481057167053,0.8766383528709412,0.759610116481781,0.8146,0.0480,0.8243
A3/A4 Component & loss ablation (full [0-4]),pose_gated_full,full (reference),3,0.8075481057167053,0.8766383528709412,0.759610116481781,0.8146,0.0480,0.8243
A3/A4 Component & loss ablation (full [0-4]),pose_gated_noside,- side head,3,0.8424237966537476,0.8303966522216797,0.7508412003517151,0.8079,0.0406,0.8189
A3/A4 Component & loss ablation (full [0-4]),pose_gated_nobg,- bg loss,3,0.8734726905822754,0.8824775218963623,0.8056753277778625,0.8539,0.0343,0.8622
A3/A4 Component & loss ablation (full [0-4]),pose_gated_notmp,- tmp loss,3,0.8641335368156433,0.8876811265945435,0.7853373885154724,0.8457,0.0438,0.8544
A5 Fusion layers - single,pose_atn_single_L0,single L0,3,0.8522270917892456,0.8597427606582642,0.7961645126342773,0.8360,0.0284,0.8456
A5 Fusion layers - single,pose_atn_single_L1,single L1,3,0.8930845856666565,0.8518365621566772,0.8112223744392395,0.8520,0.0334,0.8620
A5 Fusion layers - single,pose_atn_single_L2,single L2,3,0.7712394595146179,0.8975236415863037,0.8512616157531738,0.8400,0.0522,0.8492
A5 Fusion layers - single,pose_atn_single_L3,single L3,3,0.8547563552856445,0.9044523239135742,0.8671779632568359,0.8755,0.0211,0.8823
A5 Fusion layers - single,pose_atn_single_L4,single L4,3,0.8871048092842102,0.9285016655921936,0.7955273985862732,0.8704,0.0556,0.8786
A5 Fusion layers - multi,pose_atn_multi_P1,multi [0,1],3,0.9127331972122192,0.8986445665359497,0.8364280462265015,0.8826,0.0332,0.8884
A5 Fusion layers - multi,pose_atn_multi_P2,multi [0,1,2],3,0.880201518535614,0.8991435766220093,0.7885118126869202,0.8560,0.0483,0.8641
A5 Fusion layers - multi,pose_atn_multi_P3,multi [0-3],3,0.8663355708122253,0.8660836219787598,0.8201248645782471,0.8508,0.0217,0.8592
A5 Fusion layers - multi,pose_gated_full,multi [0-4] (=full),3,0.8075481057167053,0.8766383528709412,0.759610116481781,0.8146,0.0480,0.8243
Extra (post-hoc),pose_gated_bestcombo,bestcombo: multi[0,1]+bias0+no bg/tmp,3,0.8733018636703491,0.9254066944122314,0.8014416694641113,0.8667,0.0508,0.8727
